# Id DMS EP Mefa Oops DS EPL OopsL DSL ES
S190261 x x x A A x x x C
S190286 x B A B C A x B A
S190288 x A A B B x x x B
S190300 x A A A A x x A B
S190323 x x A A A x x x B
S190323 x x A A A x x x B
S190358 x A x A B x x B A
S190369 x x x A B x x B A
S190394 x x x A A x x C A
S190398 x B A B C A x C C
S190415 x A A A A x x A C
S190417 x x x A A x x A x
S190430 x x x A A x x A B
S190440 x A A B D x x D A
S190479 A B B B D A x D C
S190479 A B B B D A x D C
S190538 A B A A A A x B D
S190586 x C A C C A A D C
S190672 x x A A A x x A x
S190689 x A B A A x x C B
S190689 x A B A A x x C B
S190702 A C B B D A x D D
S190702 A C B B D A x D D
S190728 B E B D D B B D D
S190732 B D C D R x A E D
S190732 B D C D R x A E D
S190760 x A A A B x x B A
S190763 x A x A A x x B D
S190775 B R B E R A C E D
S190787 A C A C C A x D A
S190793 x A A B D A x E C
S190801 A B x B C A x D E
S19080I A C A C B A x D D
S190852 x A x C B x A C A
S1908ID x B A B C x x B C
:th rec x B B C B A A D A
S190878 x x x A A x x B A
S190885 x x A x A x x A A
S190901 x x A B B x x A B
S190930 C E C D E A B E E
S190975 x A B B B A x D E
S190967 B D A C D A A D D
S190971 E R D H R B A E R
S190982 E R D H R B A E R
S190982 B D C C D A x D C
S190989 x A B B B x x C B
S191022 x x A A A x x x B
S191024 A A A A B x x C D
S190348 x A x A B x x B x
S190388 x C A A C A x B C
S190469 x A x B C x x A B
S190583 x x x A C A x C A
S190680 x x x A C A x C A
S190680 x x A A A x x D C
S190283 x A x A A x x C A
S190392 A B C B B x x D E
S190740 A C B C C x A D C
S190784 x D C B C A A A E
S190914 x D C B C A A A E
S190914 B D A D D x B D B
S191004 B D A D D x B D B
S191004 A B A B B x x C E
S190161 x A A B D A x B C
S190269 x B A B B A x B C
S190295 x x A A B x x A B
S190310 x A A x x x x x x
S190386 x A x B B x x C A
S190426 x x x A A x x x x
S190626 x A A A C x x D B
S190867 A A x A B A x C C
S190013 x C A C D B A C B
S190045 x A x A B A x C x
S190056 A D C D E A B E E
S190859 A A A x B x x D A
S191091 x x x A B x x C x
S190342 x x A x A A x A A
S190497 x A A A A x x A C
S190698 x x x A x x x C B
S190708 A A E B B A x C C
S190755 x B A B B x x C B
S190987 E R C E R A C E E
S190922 x C A C C A A C C
S190958 A x x B C x x B C
